name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Shaken & Stirred,Yes,No,3.9 /5,86,"+91 9742833460
+91 9108040284",Race Course Road,"Bar, Casual Dining","Seekh Kebab, Paneer Tikka, Beer, Fish Tikka, Kala Jamun, Biryani, Long Island Iced Tea","Continental, North Indian, Chinese","1,500",Drinks & nightlife,Lavelle Road
Chugg,No,Yes,3.9 /5,747,"+91 9535812658
+91 8147347573",Church Street,Pub,"Beer, Butter Garlic Prawns, Potato Wedges, Nachos, Pasta, Cocktails, Burgers","Finger Food, Continental, Asian, North Indian","1,500",Drinks & nightlife,Lavelle Road
Scottish Pub,No,No,3.9 /5,190,080 22215002,St. Marks Road,Bar,"Wine, Beer, Chicken Pakora, Masala Corn, Pakoda, Garlic Chicken, French Fries",Finger Food,600,Drinks & nightlife,Lavelle Road
WYT RestroPub,No,No,2.7 /5,406,"+91 9481189650
080 40097000",MG Road,Pub,"Tandoori Chicken, Onion Rings, Masala Peanuts, Draught Beer, Panneer Butter Masala, Cocktails","North Indian, Chinese","1,000",Drinks & nightlife,Lavelle Road
ThrowBack - Pub & Dine,No,No,3.9 /5,234,+91 9742933332,Langford Town,"Bar, Casual Dining","Cocktails, Pizza, French Fries","Italian, North Indian, Continental","1,000",Drinks & nightlife,Lavelle Road
Downtown,No,No,3.7 /5,297,080 25581193,Residency Road,Pub,"Beer, Pepper Chicken, Cocktails, Masala Peanuts, French Fries","North Indian, Continental","1,000",Drinks & nightlife,Lavelle Road
Aqua - The Park Bangalore,No,Yes,4.0 /5,195,"+91 9035808038
+91 9049882302",MG Road,"Lounge, Bar","Cocktails, Mai Thai, Pizza, Lemon Basil Chicken","North Indian, Mediterranean, Chinese","3,000",Drinks & nightlife,Lavelle Road
Strikers Sports Bar and Music,No,Yes,3.8 /5,73,"+91 9742364993
+91 9741375529",Shanti Nagar,Bar,Beer,"Continental, North Indian, Chinese","1,200",Drinks & nightlife,Lavelle Road
Desi Deck,Yes,Yes,3.9 /5,96,+91 9962403374,Brigade Road,"Casual Dining, Bar","Balti Gosht, Cocktails, Dal Makhani","Mughlai, North Indian, Desserts","1,300",Drinks & nightlife,Lavelle Road
White Plate,No,Yes,4.2 /5,260,080 49653403,MG Road,"Casual Dining, Bar","Cocktails, Tom Yum Soup, Lobster Bisque, Lobster Risotto, Pulled Pork, Lamb, Asparagus Risotto","Thai, Continental, North Indian","1,500",Drinks & nightlife,Lavelle Road
Nandhini Paradise,No,Yes,3.6 /5,278,"080 41233333
+91 9742274063",St. Marks Road,"Casual Dining, Bar","Murgh Ghee Roast, Veg Thali, Chicken Chettinad, Chicken Kshatriya, Mutton Chops, Hyderabadi Biryani, Roti","Andhra, Chinese, North Indian",800,Drinks & nightlife,Lavelle Road
Hammered,Yes,Yes,4.7 /5,4819,"+91 8041217527
+91 7618729481",Cunningham Road,"Pub, Cafe","Sangria, Chicken Satay, Crispy Corn, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe","1,300",Drinks & nightlife,Lavelle Road
Ssaffron - Shangri-La Hotel,No,Yes,4.4 /5,751,+91 8045126430,Vasanth Nagar,"Fine Dining, Bar","Biryani, Kulfi, Butter Chicken, Dal Makhani, Zaraja Paratha, Vegetable Kebab Platter, Gulab Jamun",North Indian,"3,000",Drinks & nightlife,Lavelle Road
Hype - Shangri-La Hotel,No,Yes,4.4 /5,375,080 45126470,Vasanth Nagar,"Lounge, Bar","Cocktails, Chicken Tikka, Burgers, Popcorn, Beer, Jalapeno Cheese Poppers",Finger Food,"3,000",Drinks & nightlife,Lavelle Road
Shang Palace - Shangri-La Hotel,No,Yes,4.1 /5,345,080 45126440,Vasanth Nagar,"Fine Dining, Bar","Salads, Noodles, Prawn Dim Sums, Brownie, Dumplings, Wine, Chicken Wonton Soup","Chinese, Asian","2,000",Drinks & nightlife,Lavelle Road
Carnival de Goa,Yes,Yes,4.2 /5,984,"+91 7676767620
+91 9342412040",Ulsoor,"Casual Dining, Bar","Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry","Goan, Mangalorean, Pizza","1,000",Drinks & nightlife,Lavelle Road
b CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© - Shangri-La Hotel,No,Yes,4.3 /5,429,080 45126420,Vasanth Nagar,"Fine Dining, Bar","Sea Food, Lunch Buffet, Sushi, Cappuccino, Mutton Biryani, Noodles, Salads","North Indian, Italian, Chinese, Japanese","3,400",Drinks & nightlife,Lavelle Road
The Grill House,Yes,Yes,4.1 /5,770,080 40977011,Ulsoor,"Casual Dining, Bar","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak","1,200",Drinks & nightlife,Lavelle Road
Watson's,No,No,4.1 /5,495,"+91 8105855444
+91 7899726173",Vasanth Nagar,Pub,"Chicken Tikka, Cocktails, Draught Beer, Pizza, Beef Chilli, Cheese Chilli Toast, Calamari","Finger Food, Salad, Chinese, Continental","1,300",Drinks & nightlife,Lavelle Road
Beetle Juice Bar - Springs Hotel & Spa,No,Yes,3.7 /5,64,"080 22225777
080 22224777",Basavanagudi,Bar,Rooftop Ambience,Finger Food,"2,200",Drinks & nightlife,Lavelle Road
The Green Path - Forgotten Food,No,Yes,4.3 /5,1143,080 49653006,Malleshwaram,Casual Dining,"Lunch Buffet, Millet Pizza, Salads, Beetroot Payasam, Banana Pudding, Thali, Tikki","North Indian, South Indian","1,100",Buffet,Malleshwaram
Barbecued - By The Orchard,No,Yes,4.3 /5,592,080 49653451,Sadashiv Nagar,Casual Dining,"Vegetable Biryani, Panipuri, Chaat, Paneer Tikka, Lunch Buffet, Curd Rice, Vegetarian",North Indian,"1,200",Buffet,Malleshwaram
Feast - Sheraton Grand Bangalore Hotel at Brigade...,No,Yes,4.3 /5,950,080 49653030,Malleshwaram,Fine Dining,"Sunday Brunch, Chocolate Cake, Mutton Biryani, Pasta, Pizza, Croissants, Cocktails","North Indian, Continental","2,000",Buffet,Malleshwaram
Mainland China,Yes,Yes,4.5 /5,1150,080 49652687,Malleshwaram,Casual Dining,"Kimchi, Salads, Momos, Mocktails, Manchow Soup, Chicken Dumplings, Dimsum Platter",Chinese,"1,700",Buffet,Malleshwaram
Toscano,Yes,Yes,4.3 /5,1099,"080 22682055
+91 7619320073",Malleshwaram,Casual Dining,"Pizza, Pasta, Wine, Cocktails, Mocktails, Mojito, Tiramisu","Italian, Salad, Mediterranean","1,500",Buffet,Malleshwaram
1947,No,Yes,4.0 /5,1070,"080 41314321
+91 9739989448",Malleshwaram,Casual Dining,"Jal-jeera, Roti, Dhokla, Biryani, Kheer, Chaach, Dal Tadka","North Indian, Chinese",950,Buffet,Malleshwaram
Village - The Soul of India,No,Yes,4.0 /5,568,"+91 9741223008
080 22667262",Malleshwaram,Casual Dining,"Buttermilk, Jalebi, Roti, Chaat, Noodles, Vegetable Biryani, Tea","North Indian, South Indian","1,000",Buffet,Malleshwaram
Sattvam,No,No,4.4 /5,2127,"080 23608000
+91 7815002550",Sadashiv Nagar,Casual Dining,"Gajar Ka Halwa, Jalebi Rabri, Aamras, Pongal, Salads, Lauki Ka Halwa, Pasta","North Indian, South Indian","1,200",Buffet,Malleshwaram
The Raj Pavilion - ITC Windsor,No,Yes,4.2 /5,371,080 61401224,Sankey Road,Fine Dining,"Pizza, Chocolate Cake, Salads, Hot Chocolate, Tea, Creme Brulee, Sunday Brunch","North Indian, Continental, Asian","2,400",Buffet,Malleshwaram
Mint Masala,Yes,No,3.8 /5,571,"+91 7829346024
+91 8762998064",Sadashiv Nagar,Casual Dining,"Salads, Salad, Veg Platter, Lunch Buffet, Kadai Paneer, Mint Masala, Veg Buffet","Chinese, North Indian",800,Buffet,Malleshwaram
La Brasserie - Le Meridien,No,Yes,4.1 /5,309,"080 22262233
080 22282828",Sankey Road,Fine Dining,"Pasta, Veg Sushi, Biryani, Lunch Buffet, Waffles, Grilled Lamb, Sunday Brunch","North Indian, Continental, Japanese, Chinese, South Indian","4,100",Buffet,Malleshwaram
The Kabab Studio - Goldfinch Hotel,No,Yes,4.2 /5,358,"+91 8904036513
+91 7760976603",Seshadripuram,Casual Dining,"Chaat, Pav Bhaji, Biryani, Lassi, Mocktails, Dahipuri, Lemongrass Mocktail","North Indian, Chinese, Continental","1,500",Buffet,Malleshwaram
Little Italy,No,Yes,4.3 /5,354,"+91 9538495000
080 23618001",Sadashiv Nagar,Casual Dining,"Pizza, Mocktails, Salads, Nachos, Pesto Pasta, Risotto, Spinach Salsa","Italian, Pizza, Mexican","1,400",Buffet,Malleshwaram
24/7 - The Lalit Ashok Bangalore,No,Yes,4.0 /5,344,080 49652679,Seshadripuram,Fine Dining,"Salads, Breakfast Buffet, Rasmalai, Sunday Brunch, Omelette, Biryani, Pancakes","Continental, North Indian, Italian, Chinese","3,000",Buffet,Malleshwaram
"Lush - Renaissance Hotel, Bengaluru",No,Yes,4.5 /5,409,"+91 8046855527
+91 9663153361",Race Course Road,Casual Dining,"Chicken Tikka, Paneer Tikka, Brownie, Biryani, Mocktails, Tea, Dal Makhani","North Indian, Continental","1,200",Buffet,Malleshwaram
Onesta,Yes,Yes,4.3 /5,355,+91 7760714154,Basaveshwara Nagar,"Casual Dining, Cafe","Paneer Pizza, Penne Pasta, Cheesecake, Chocolate Pizza, Paneer Tikka, Fries","Pizza, Cafe, Italian",600,Buffet,Malleshwaram
The Higher Taste,No,Yes,4.3 /5,854,"080 23575333
+91 9108494505",Rajajinagar,Casual Dining,"Aloo Gobhi, Mocktails, Veg Buffet, Dahi Vada, Salads, Chaat, Buttermilk","Pizza, Biryani, North Indian, South Indian",800,Buffet,Malleshwaram
Sangam Restaurant,No,No,3.7 /5,81,080 43111111,Rajajinagar,Casual Dining,"Dal Makhani, Salads, Chaat","North Indian, South Indian, Chinese",600,Buffet,Malleshwaram
Coastal Spice,Yes,Yes,3.7 /5,56,080 49652651,Rajajinagar,Casual Dining,Sea Food,"Seafood, North Indian, Chinese, Continental, Mangalorean",900,Buffet,Malleshwaram
Stevie's,Yes,No,4.0 /5,69,+91 6364697638,Malleshwaram,Cafe,"Pasta, Chicken Steak, Pizza, Pink Lemonade, Nachos, Burgers, Wings",Cafe,500,Cafes,Malleshwaram
Clean Slate Cafe,Yes,No,4.1 /5,272,+91 6361353220,Malleshwaram,Cafe,"Fries, Burgers, Peri Peri Potato Wedge, Pasta Arrabiata, Cappuccino, Nachos, Pesto Pasta","Cafe, Continental, Italian",600,Cafes,Malleshwaram
Mumbai Bistro,Yes,No,4.2 /5,504,"+91 9945040585
+91 9611548719",Malleshwaram,Cafe,"Pav Bhaji, Tawa Pulav, Vada Pav, Chaat, Rolls, Dabeli, Sandwiches","Cafe, North Indian, Street Food",500,Cafes,Malleshwaram
Smoor,Yes,No,4.2 /5,287,"080 22682150
+91 9972202755",Malleshwaram,"Cafe, Dessert Parlor","Chocolate Sundae, Cup Cake, Coffee, Cheesecake, Macaroon, Sandwich, Hot Chocolate","Desserts, Cafe, Continental",700,Cafes,Malleshwaram
TLP Cafe,Yes,No,3.9 /5,250,"+91 9945146111
+91 9886751040",Malleshwaram,Cafe,"Coffee, Sandwich, Mudpie, Sandwiches, Rainbow Cake, White Sauce Pasta, Rainbow Pastry","Cafe, Italian",400,Cafes,Malleshwaram
Kalmane Koffees,No,No,3.7 /5,117,+91 6363800511,Malleshwaram,Cafe,"Filter Coffee, Hot Coffee, Chaat, Brownie, Tea",Cafe,350,Cafes,Malleshwaram
HighTeaParty Cafe,Yes,No,3.9 /5,72,"080 23460037
+91 9535165683",Malleshwaram,Cafe,"Cheese Balls, Mushroom Pasta, Paneer Pizza, Chicken Peri Peri Sizzler, Chips","Cafe, Continental, Steak, Italian",500,Cafes,Malleshwaram
Aubree,Yes,No,4.3 /5,722,"+91 9611117777
080 40981077",Sadashiv Nagar,"Cafe, Bakery","Cup Cake, Peri Peri Paneer Pizza, Coffee, Waffles, Hot Chocolate, Chocolate Hazelnut, Rainbow Cake","Cafe, Bakery",400,Cafes,Malleshwaram
Third Wave Coffee Roasters,No,No,4.3 /5,90,"+91 7349711123
+91 9903006952",Sadashiv Nagar,Cafe,"Coffee, Hot Chocolate, Sandwich, Shakshouka","Cafe, Continental, Desserts",800,Cafes,Malleshwaram
JustBe Cafe,No,Yes,4.3 /5,476,"080 48538672
+91 9513804561",Sadashiv Nagar,Cafe,"Salad, Salads, Sandwich, Nachos, Garden Pizza, Herbed Potato Wedges, Falafel","Cafe, Beverages, Healthy Food","1,000",Cafes,Malleshwaram
Mama Mia!,Yes,No,3.9 /5,111,+91 9845017717,Seshadripuram,Dessert Parlor,"Hot Chocolate, Fries, Gelato, Brownie, Strawberry Shake, Vanilla Ice Cream, Thick Shakes","Desserts, Cafe",400,Cafes,Malleshwaram
Kwatlay Rest-O-Cafe,No,No,4.1 /5,184,+91 8043005454,Seshadripuram,Casual Dining,"Paratha, Paneer Sizzler, Pizza, Thick Shakes, White Sauce Pasta, Mexican Rice, Chinese Sizzlers","Continental, Cafe, Italian, North Indian",800,Cafes,Malleshwaram
Onesta,Yes,Yes,4.3 /5,355,+91 7760714154,Basaveshwara Nagar,"Casual Dining, Cafe","Paneer Pizza, Penne Pasta, Cheesecake, Chocolate Pizza, Paneer Tikka, Fries","Pizza, Cafe, Italian",600,Cafes,Malleshwaram
Smally's Resto Cafe,Yes,No,4.2 /5,1440,"+91 7406772288
+91 7406772299",New BEL Road,Cafe,"Burgers, Cheddar Cheese Balls, Peri Peri Chicken Steak, Pasta, Pizza, Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650,Cafes,Malleshwaram
Leon Grill,Yes,No,4.0 /5,334,+91 8123395623,New BEL Road,Quick Bites,"Burgers, Peri Peri Chicken, Salad, Nachos, Peri Peri Wings, Chicken Fries, Salads","Fast Food, Healthy Food",500,Delivery,Malleshwaram
Smally's Resto Cafe,Yes,No,4.2 /5,1440,"+91 7406772288
+91 7406772299",New BEL Road,Cafe,"Burgers, Cheddar Cheese Balls, Peri Peri Chicken Steak, Pasta, Pizza, Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650,Delivery,Malleshwaram
Chaatimes,Yes,No,3.9 /5,112,+91 8884272277,Malleshwaram,Quick Bites,"Dabeli, Masala Poori, Misal Pav, Dahipuri, Papdi Chaat, Panipuri, Pav Bhaji","Street Food, Fast Food",200,Delivery,Malleshwaram
Malleshwaram Dosa Corner,Yes,No,4.4 /5,104,+91 7406053201,Malleshwaram,Quick Bites,"Benne Masala Dosa, Aloo Palya",South Indian,120,Delivery,Malleshwaram
Deccan House,Yes,No,4.0 /5,409,"+91 9900052051
080 41697333",New BEL Road,Quick Bites,"Hyderabadi Biryani, Chicken Biryani, Vegetable Biryani","Hyderabadi, Biryani",350,Delivery,Malleshwaram
WOW! Momo,Yes,No,3.9 /5,285,"+91 8867803487
+91 9844743360",Malleshwaram,Food Court,"Chicken Momo, Chicken Sizzler, Chocolate Momos, Momo Burger, Burgers, Veg Momos, Corn Momo","Tibetan, Momos",400,Delivery,Malleshwaram
FreshMenu,Yes,No,3.3 /5,535,080 49653566,West Bangalore,Delivery,"Sandwich, Salads, Pizza, Sandwiches, Salad, Pasta, Fish","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Malleshwaram
New Agarwal Bhavan,Yes,No,4.1 /5,253,080 23371157,Yeshwantpur,"Quick Bites, Sweet Shop","Badam Milk, Chaat, Sandwich, Noodles, Ghee Dosa, Paratha, Masala Dosa","North Indian, Chinese, Street Food, Mithai",400,Delivery,Malleshwaram
Burger King,Yes,No,4.0 /5,555,"+91 8041200511
+91 7406804460",New BEL Road,Quick Bites,"Burgers, Chicken Wings, Mango Shake, Chicken Crisp Burger, Cheesy Fries, Chicken Fries, Burger Meal","Burger, Fast Food, Beverages",600,Delivery,Malleshwaram
Corner House Ice Cream,Yes,No,4.4 /5,403,"080 23447520
+91 9880594011",Seshadripuram,Dessert Parlor,"Hot Chocolate Fudge, Brownie Fudge Sundae, Brownie Bomb, Apple Pie, Fudge Cake, Apple Cake, Chocolate Mousse","Ice Cream, Desserts",400,Delivery,Malleshwaram
Empire Restaurant,Yes,No,4.0 /5,601,091 8040414141,Rajajinagar,Casual Dining,"Brain Fry, Butter Chicken, Chicken Kebab, Chicken Wings, Lunch Buffet, Mutton Biryani, Chicken Grill","North Indian, Mughlai, South Indian, Chinese",750,Delivery,Malleshwaram
New Oottupura Restaurant,Yes,No,3.5 /5,224,"+91 7338288594
+91 7338288595",New BEL Road,Quick Bites,"Kerala Parotta, Shawarma",Kerala,300,Delivery,Malleshwaram
Chaat Street,Yes,No,4.1 /5,673,"+91 9740174182
+91 7349250512",New BEL Road,Quick Bites,"Chaat, Pav Bhaji, Bhel Puri, Dahipuri, Vada Pav, Raj Kachori, Samosa","Street Food, North Indian",250,Delivery,Malleshwaram
The Good Bowl,Yes,No,3.8 /5,30,+91 8040929558,Sanjay Nagar,"Takeaway, Delivery",Omelette,"Italian, North Indian, Biryani",500,Delivery,Malleshwaram
Polar Bear,Yes,No,3.9 /5,115,080 49652739,Rajajinagar,Dessert Parlor,"Choco Fudge Brownie, Sandwich, Tiramisu, Vanilla Ice Cream","Desserts, Ice Cream, Beverages, Sandwich",400,Delivery,Malleshwaram
Auntie Fung's,Yes,No,4.2 /5,577,+91 8049652828,New BEL Road,Casual Dining,"Khau Suey, Burmese Khao Suey, Hakka Noodles, Chicken Satay, Vietnamese Pho, Momos, Yaki Tori","Asian, Chinese",600,Delivery,Malleshwaram
Frozenheit?,Yes,No,4.0 /5,154,+91 8105953406,Rajajinagar,Dessert Parlor,"Choco Death, Brownie",Ice Cream,500,Delivery,Malleshwaram
Mumbai Xpress,Yes,No,3.7 /5,418,080 41226029,New BEL Road,Quick Bites,"Pav Bhaji, Paratha, Pizza Sandwich, Burgers, Vada Pav, Chocolate Mousse, Sandwiches","Street Food, Fast Food",400,Delivery,Malleshwaram
Onesta,Yes,Yes,4.4 /5,4869,"+91 8904001147
+91 8904001148",New BEL Road,"Casual Dining, Cafe","Oreo Delight, Apple Pie, Barbeque Chicken, Bbq Chicken, Stuffed Pizza, Ravioli, Mojito","Pizza, Cafe, Italian",600,Delivery,Malleshwaram
Keventers,Yes,No,3.9 /5,129,091 9446233155,New BEL Road,"Beverage Shop, Dessert Parlor","Thick Shakes, Chocolate Oreo, Chocolate Hazelnut, Kit Kat Shake","Desserts, Beverages, Ice Cream",400,Delivery,Malleshwaram
Gullu's Chat,Yes,No,3.7 /5,594,"+91 9845102389
+91 8050410142",Seshadripuram,Quick Bites,"Chaat, Panipuri, Masala Poori, Pav Bhaji, Bhel Puri, Pizza, Dahi Papdi","Fast Food, Street Food, Juices",250,Delivery,Malleshwaram
Cold Stone Creamery,Yes,No,4.1 /5,142,080 22682244,Malleshwaram,Dessert Parlor,"Chocolate Devotion, Brownie, Salted Caramel","Ice Cream, Desserts",400,Delivery,Malleshwaram
Absolute Chinese,Yes,No,3.8 /5,209,"+91 7406663331
+91 7406663334",Rajajinagar,Quick Bites,"Momos, Noodles, Fish, Spring Roll, Chicken Noodle, Hunan Chicken, Chicken Momo","Chinese, Fast Food, Momos",450,Delivery,Malleshwaram
Bhairaveshwara Military Hotel,Yes,No,4.1 /5,133,+91 8553206844,Malleshwaram,Quick Bites,Biryani,"South Indian, Hyderabadi",250,Delivery,Malleshwaram
Just Shawarma,Yes,No,3.8 /5,179,+91 7676764422,New BEL Road,Quick Bites,"Whole Meat Shawarma, Malgoum Shawarma, Roti, Kerala Parotta, Pita Bread",Arabian,300,Delivery,Malleshwaram
Amrut,Yes,No,3.5 /5,250,+91 7022574257,Malleshwaram,Quick Bites,Paratha,"North Indian, Chinese, Fast Food",300,Delivery,Malleshwaram
Fishing Boat,Yes,No,4.0 /5,89,080 49652870,Yeshwantpur,Quick Bites,Bamboo Chicken Biryani,"Kerala, South Indian, Chinese",300,Delivery,Malleshwaram
Zam Zam Kabab House,Yes,No,3.4 /5,89,"+91 8867700239
+91 9036429729",Yeshwantpur,Quick Bites,"Biryani, Rumali Roti, Chicken Noodle","North Indian, Chinese",300,Delivery,Malleshwaram
Al-Bek,Yes,No,4.1 /5,935,"+91 9606030004
080 23461077",Malleshwaram,Casual Dining,"Biryani, Shawarma, Kalmi Kabab, Chicken Grill, Chicken Noodle, Chicken Kebab, Chicken Shawarama","Mughlai, Chinese",700,Delivery,Malleshwaram
Pizza Hut,Yes,No,2.8 /5,340,"080 39883988
080 22667380",Malleshwaram,Casual Dining,"Pasta, Wedges, Garden Salad, Tandoor Paneer Pizza, Masala Lemonade, Supreme Pizza, Corn Pizza","Pizza, Fast Food",750,Delivery,Malleshwaram
Slanz Cafe,Yes,No,3.6 /5,99,"+91 9008034003
+91 9008035003",Basaveshwara Nagar,Cafe,"Burgers, Pizza, Coffee, Cappuccino, Fries","Cafe, Italian, Desserts",500,Delivery,Malleshwaram
Flavors of North,Yes,No,3.3 /5,239,"+91 9845415585
+91 8023602386",New BEL Road,Quick Bites,"Malai Kofta, Fries, Chicken Biryani, Stuffed Kulcha","North Indian, Chinese, Biryani",400,Delivery,Malleshwaram
Faasos,Yes,No,3.9 /5,250,+91 7700020020,Sanjay Nagar,Delivery,"Rolls, Tea, Veggie Wrap, Chicken Wrap, Omelette, Biryani","North Indian, Biryani, Fast Food",500,Delivery,Malleshwaram
KFC,Yes,No,3.6 /5,209,080 33994444,Cunningham Road,Quick Bites,"Burgers, Crispy Chicken, Chicken Zinger Burger, French Fries, Chicken Fries, Hot Wings","Burger, Fast Food",400,Delivery,Malleshwaram
Dhanalakshmi Grand,Yes,No,4.0 /5,71,+91 9590485494,Malleshwaram,Quick Bites,Masala Dosa,"South Indian, North Indian",300,Delivery,Malleshwaram
Tadkawala,Yes,No,3.4 /5,84,080 49653213,Vasanth Nagar,"Takeaway, Delivery","Veg Thali, Salad",North Indian,200,Delivery,Malleshwaram
Kaati Zone,Yes,No,3.8 /5,251,"080 41490945
+91 8618171912",Malleshwaram,Quick Bites,"Rolls, Veggie Roll, Chicken Biryani, Paneer Tikka Roll, Wheat Roll","Fast Food, Biryani, Rolls",350,Delivery,Malleshwaram
Thalassery Restaurant,Yes,No,3.8 /5,462,"+91 8023601741
+91 9902228501",New BEL Road,Casual Dining,"Appam, Kerala Parotta, Sea Food, Idiyappam, Chicken Chettinad, Dum Biryani, Egg Curry","Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",600,Delivery,Malleshwaram
Casino Hotel,Yes,No,3.9 /5,343,"080 65662103
080 23417786",New BEL Road,Casual Dining,"Chicken Grill, Butter Naan, Paratha, Shawarma Roll, Biryani, Butter Chicken, Tandoori Chicken","North Indian, Chinese",500,Delivery,Malleshwaram
South Idlis,Yes,No,4.0 /5,284,"+91 9945122044
+91 9686333346",Rajajinagar,Quick Bites,"Vada, Thatte Idli, Kesari Bath",South Indian,150,Delivery,Malleshwaram
Halli Mane,Yes,No,4.0 /5,1192,+91 8310558848,Malleshwaram,Quick Bites,"Akki Rottis, Roti, Rava Idli, Filter Coffee, Pongal, Masala Dosa, Kokum Juice","South Indian, North Indian, Chinese",250,Delivery,Malleshwaram
Ovenstory Pizza,Yes,No,3.9 /5,182,+91 7738383000,Rajajinagar,"Takeaway, Delivery","Paneer Picante Pizza, Chicken Salami, Peri Peri Pizza, Veggie Pizza",Pizza,800,Delivery,Malleshwaram
Vishnu Garden,Yes,No,4.0 /5,163,080 23555111,RT Nagar,Quick Bites,"Vada, Filter Coffee, Masala Dosa",South Indian,400,Delivery,Malleshwaram
BOX8- Desi Meals,Yes,No,4.1 /5,559,022 33552698,Rajajinagar,"Takeaway, Delivery","Dal Makhani, Paratha, Brownie, Salad, Masala Lemonade, Chicken Biryani, Salads","North Indian, Mughlai, Fast Food",500,Delivery,Malleshwaram
Vinny's,Yes,No,4.1 /5,1107,"080 41999113
+91 9148842123",New BEL Road,Casual Dining,"Pizza, Pasta, Mocktails, Nachos, Mushroom Soup, Garlic Bread, Mojito","Italian, Pizza",700,Delivery,Malleshwaram
Shuchi Ruchi,Yes,No,4.0 /5,340,"+91 9448804902
+91 7996992068",Malleshwaram,Quick Bites,"Aloo Palya, Masala Poori, Panipuri, Rolls, Chaat, Benne Dosa, Dahipuri","Chinese, North Indian, Street Food",350,Delivery,Malleshwaram
CTR,Yes,No,4.7 /5,4408,080 23317531,Malleshwaram,Quick Bites,"Benne Masala Dosa, Filter Coffee, Chai, Butter Masala Dosa, Crispy Vada, Tea, Kesari Bath",South Indian,150,Delivery,Malleshwaram
Richie Rich,Yes,No,4.0 /5,629,"080 22269655
080 30589655",Race Course Road,"Dessert Parlor, Quick Bites","Tawa Pulav, Faluda, Pav Bhaji, Ice Cream Sundae, Brownie, Hot Chocolate Fudge, Fruit Salad","Desserts, Beverages, Fast Food, Ice Cream",450,Delivery,Malleshwaram
Grubbery,Yes,No,4.1 /5,637,"080 48543255
+91 7406612222",New BEL Road,Cafe,"Burgers, Chicken Skewer, Waffles, Pancakes, Pesto Pasta, Coffee, Sandwiches","Cafe, American, Asian, European, Steak, Salad, Desserts",700,Delivery,Malleshwaram
The Egg Factory,Yes,No,4.0 /5,380,080 43025886,New BEL Road,Casual Dining,"Healthy Breakfast, Rolls, Egg Chilli, Pesto Pasta, Egg Bhurji, Burgers, Omelette","Continental, American",750,Delivery,Malleshwaram
Messy Eats,No,No,3.9 /5,133,+91 8197455566,New BEL Road,"Bakery, Dessert Parlor","Waffles, Churros, Pancakes, Fries","Bakery, Desserts",500,Delivery,Malleshwaram
Sagar,Yes,No,4.0 /5,152,+91 9900091999,Seshadripuram,Casual Dining,"Misal Pav, Pizza, Fafda, Pav Bhaji, Rava Dosa, Chaat, Panipuri",North Indian,600,Delivery,Malleshwaram
Chick Inn,Yes,No,3.8 /5,99,+91 9886688466,Rajajinagar,Quick Bites,"Burgers, Popcorn, Chicken Roll",Fast Food,300,Delivery,Malleshwaram
Cream Stone,Yes,No,4.1 /5,249,+91 9945749418,New BEL Road,Dessert Parlor,"Chocolava, Nutella Brownie, Ferrero Rocher, Hot Chocolate Fudge","Desserts, Ice Cream, Beverages",500,Delivery,Malleshwaram
Chai Point,Yes,No,4.0 /5,108,+91 8880141000,New BEL Road,"Beverage Shop, Quick Bites","Tea, Chai, Poha","Fast Food, Beverages",250,Delivery,Malleshwaram
Brahmins' Thatte Idli,Yes,No,4.1 /5,181,+91 7625097554,Sanjay Nagar,Quick Bites,"Vada, Idli, Pongal, Upma, Tea, Kesari Bath, Coffee",South Indian,100,Delivery,Malleshwaram
Calicut Restaurant,Yes,No,3.9 /5,171,"+91 9738811216
080 23603360",Yeshwantpur,Casual Dining,"Fried Fish, Paratha, Vegetable Stew, Appam, Chicken Biryani, Chicken Curry, Sea Food","Kerala, South Indian, North Indian, Chinese",450,Delivery,Malleshwaram
Le Arabia,Yes,Yes,4.4 /5,1016,"080 23233000
080 23236000",Basaveshwara Nagar,Casual Dining,"Sea Food, Ghee Rice, Hyderabadi Mutton Biryani, Chicken Biryani, Shawarma, Chicken Grill, Crispy Chicken","North Indian, Mughlai",800,Delivery,Malleshwaram
Firangi Bake,Yes,No,4.1 /5,52,+91 7710090007,Sanjay Nagar,Delivery,"Lasagne, Chicken Quesadilla, Garlic Bread","Mexican, Italian",600,Delivery,Malleshwaram
